CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
04/22/2020,00:49:00,9S,400 FONTHILL AV,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.683427276311,39.283380766297,,STREET,,1
04/21/2020,12:15:00,9S,800 N FRANKLINTOWN RD,SHOOTING,Outside,FIREARM,814.0,SOUTHWEST,FRANKLINTOWN ROAD,-76.665076017372,39.295691429236996,,STREET,,1
04/21/2020,01:58:00,9S,4900 REISTERSTOWN RD,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.678040601649,39.342133649745,,STREET,Northwestern,1
04/21/2020,19:54:00,9S,1800 MOSHER ST,SHOOTING,Outside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.623694842265,39.288377775121,,STREET,,1
04/20/2020,15:58:00,9S,2300 JEFFERSON ST,SHOOTING,Outside,FIREARM,321.0,SOUTHEAST,MCELDERRY PARK,-76.58491844394399,39.296688588649,,STREET,,1
04/19/2020,20:23:00,9S,5200 LINDEN HEIGHTS AV,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.66232470274801,39.354509603546,,STREET,Northwestern,1
04/19/2020,15:00:00,9S,5200 CEDGATE RD,SHOOTING,Outside,FIREARM,421.0,NORTHEAST,MORGAN STATE UNIVERS,-76.532413434159,39.326181491585004,,STREET,,1
04/17/2020,20:14:00,9S,2500 QUANTICO AV,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.660115441895,39.33832918952,,STREET,,1
04/17/2020,21:07:00,9S,2200 W LAFAYETTE AV,SHOOTING,Outside,FIREARM,723.0,WESTERN,BRIDGEVIEW/GREENLAWN,-76.65216188920999,39.298653163488005,,STREET,,1
04/17/2020,17:58:00,9S,1500 W NORTH AV,SHOOTING,Outside,FIREARM,733.0,WESTERN,PENN NORTH,-76.641421150728,39.310181464529,,STREET,Western,1
04/13/2020,11:15:00,9S,100 S CALVERTON RD,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.65226098332501,39.286805480198005,,STREET,Tri-District,1
04/13/2020,21:26:00,9S,700 APPLETON ST,SHOOTING,Outside,FIREARM,722.0,WESTERN,MIDTOWN EDMONDSON,-76.648313104926,39.296412053042005,,STREET,,1
04/13/2020,20:31:00,9S,2000 W FAYETTE ST,SHOOTING,Outside,FIREARM,832.0,WESTERN,GWYNNS FALLS,-76.648819149634,39.289490419843,,HOSPITAL,,1
04/11/2020,00:21:00,9S,200 ATHOLGATE LA,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,VIOLETVILLE,-76.696869244431,39.285406923374,,PARKING LOT,,1
