CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
06/17/2018,06:00:00,2A,1000 CAMERON RD,RAPE,I,OTHER,523.0,NORTHERN,CAMERON VILLAGE,-76.597664101053,39.356407035727,,ROW/TOWNHOUSE-OCC,,1
06/16/2018,01:00:00,2A,5400 YORK RD,RAPE,O,OTHER,523.0,NORTHERN,MID-GOVANS,-76.609829381696,39.35555563482,,ALLEY,,1
06/16/2018,10:35:00,2A,2800 WOODLAND AVE,RAPE,I,OTHER,532.0,NORTHERN,CYLBURN,-76.664507063799,39.34661209227,,UNKNOWN,,1
06/15/2018,15:00:00,2A,700 E CHASE ST,RAPE,,OTHER,313.0,EASTERN,JOHNSTON SQUARE,-76.60713498902601,39.302802662611,,,,1
06/15/2018,16:10:00,2A,700 EVESHAM AVE,RAPE,O,OTHER,523.0,NORTHERN,CHINQUAPIN PARK/BELV,-76.605790128891,39.364212844713,,STREET,,1
06/14/2018,22:45:00,2A,6500 EASTERN AVE,RAPE,O,OTHER,233.0,SOUTHEAST,PULASKI INDUSTRIAL AREA,-76.535839202782,39.287717279381,,GAS STATION,,1
06/13/2018,02:00:00,2A,1900 GREENBERRY RD,RAPE,I,OTHER,533.0,NORTHERN,MOUNT WASHINGTON,-76.654198007494,39.360342588533,,ROW/TOWNHOUSE-OCC,,1
06/13/2018,10:00:00,2A,1800 ORLEANS ST,RAPE,I,OTHER,321.0,EASTERN,DUNBAR,-76.59131630689001,39.295328658036,,HOSP/NURS. HOME,,1
06/12/2018,11:00:00,2A,3900 WABASH AVE,RAPE,I,OTHER,625.0,NORTHWEST,EAST ARLINGTON,-76.665933334537,39.329958210709,,ROW/TOWNHOUSE-OCC,,1
06/12/2018,19:02:00,2A,3200 ELMLEY AVE,RAPE,,OTHER,434.0,NORTHEAST,BELAIR-EDISON,-76.578363,39.316948123492,,,,1
06/11/2018,02:00:00,2A,6000 MORAVIA RD,RAPE,O,OTHER,443.0,NORTHEAST,PULASKI INDUSTRIAL AREA,-76.544510849719,39.315932170384,,GAS STATION,,1
06/11/2018,16:00:00,2A,1700 E COLD SPRING LN,RAPE,I,OTHER,413.0,NORTHEAST,STONEWOOD-PENTWOOD-W,-76.587339603138,39.346037801761,,PARKING LOT-INSIDE,,1
06/10/2018,10:20:00,2A,1100 E COLD SPRING LN,RAPE,I,OTHER,413.0,NORTHEAST,NEW NORTHWOOD,-76.599497457453,39.345044509626,,ROW/TOWNHOUSE-OCC,,1
06/09/2018,13:30:00,2A,3200 AVONDALE AVE,RAPE,O,OTHER,633.0,NORTHWEST,PIMLICO GOOD NEIGHBO,-76.677861403295,39.352924643677,,STREET,,1
06/09/2018,01:00:00,2A,1200 LINWORTH AVE,RAPE,I,OTHER,413.0,NORTHEAST,NEW NORTHWOOD,-76.598258903926,39.347115211151,,ROW/TOWNHOUSE-OCC,,1
06/07/2018,18:15:00,2A,1100 W FAYETTE ST,RAPE,I,OTHER,712.0,WESTERN,POPPLETON,-76.636211844955,39.289900745773004,,ROW/TOWNHOUSE-VAC,,1
06/07/2018,00:01:00,2A,4400 PARK HEIGHTS AVE,RAPE,O,OTHER,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.666536748131,39.339643779287,,STREET,,1
06/06/2018,15:25:00,2A,2900 BELMONT AVE,RAPE,,OTHER,813.0,SOUTHWEST,ROSEMONT,-76.666310764679,39.303401134482996,,,,1
06/02/2018,12:30:00,2A,400 N LAKEWOOD AVE,RAPE,O,OTHER,221.0,SOUTHEAST,MCELDERRY PARK,-76.57921808039501,39.295936709828,,STREET,,1
06/01/2018,01:00:00,2B,600 W CONWAY ST,RAPE,I,OTHER,941.0,SOUTHERN,RIDGELYS DELIGHT,-76.62414589932101,39.282290816940005,,ROW/TOWNHOUSE-OCC,,1
06/01/2018,23:00:00,2A,100 W NORTH AVE,RAPE,I,OTHER,134.0,CENTRAL,CHARLES NORTH,-76.618112691709,39.311184800707004,,HOTEL/MOTEL,,1
06/01/2018,15:00:00,2A,100 HOPKINS PL,RAPE,I,OTHER,114.0,CENTRAL,INNER HARBOR,-76.617742176731,39.287585045068,,ROW/TOWNHOUSE-OCC,,1
06/01/2018,14:00:00,2A,600 W FAYETTE ST,RAPE,O,OTHER,121.0,CENTRAL,SETON HILL,-76.624626700709,39.290318915674,,PARK,,1
06/01/2018,15:23:00,2A,4500 EDMONDSON AVE,RAPE,,OTHER,822.0,SOUTHWEST,ROGNEL HEIGHTS,-76.692554410502,39.293549693252004,,,,1
06/01/2018,00:01:00,2A,600 E FAYETTE ST,RAPE,,OTHER,111.0,CENTRAL,DOWNTOWN,-76.607690540988,39.290561821815,,,,1
05/31/2018,23:50:00,2A,600 W LEXINGTON ST,RAPE,I,OTHER,121.0,CENTRAL,SETON HILL,-76.624680065175,39.291268091888,,ROW/TOWNHOUSE-OCC,,1
05/30/2018,16:30:00,2A,2100 E NORTH AVE,RAPE,O,OTHER,331.0,EASTERN,SOUTH CLIFTON PARK,-76.58861472285,39.312490323320006,,ALLEY,,1
05/30/2018,18:30:00,2A,800 GRUNDY ST,RAPE,I,OTHER,231.0,SOUTHEAST,BREWERS HILL,-76.563186072699,39.283147912687,,ROW/TOWNHOUSE-OCC,,1
05/29/2018,08:03:00,2A,1900 MCHENRY ST,RAPE,,OTHER,934.0,SOUTHERN,CARROLLTON RIDGE,-76.647742019408,39.284126080547,,,Tri-District,1
05/28/2018,02:00:00,2A,4000 WOODHAVEN AVE,RAPE,I,OTHER,623.0,NORTHWEST,WINDSOR HILLS,-76.684594408476,39.320308245291,,ROW/TOWNHOUSE-OCC,,1
05/27/2018,04:05:00,2B,2300 ORLEANS ST,RAPE,,OTHER,221.0,SOUTHEAST,PATTERSON PLACE,-76.58398617870499,39.295476975203,,,,1
