CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
10/11/2016,14:00:00,1A,600 N GLOVER ST,HOMICIDE,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.58017938993599,39.298175204611,,STREET,,1
10/11/2016,14:25:00,1A,200 N GILMOR ST,HOMICIDE,Inside,FIREARM,935.0,WESTERN,FRANKLIN SQUARE,-76.642580644157,39.290924728566,,DWELLING,,1
10/10/2016,20:31:00,1A,2300 PRESBURY ST,HOMICIDE,Outside,FIREARM,723.0,WESTERN,COPPIN HEIGHTS/ASHBU,-76.65406192400799,39.307706153386995,,STREET,Western,1
10/10/2016,16:46:00,1A,100 N MONROE ST,HOMICIDE,Outside,FIREARM,714.0,WESTERN,FRANKLIN SQUARE,-76.647074745287,39.289527965664,,STREET,,1
10/10/2016,14:06:00,1A,3700 BEEHLER AV,HOMICIDE,Outside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.675192319315,39.342679564773995,,STREET,Northwestern,1
10/09/2016,23:35:00,1K,2500 W LAFAYETTE AV,HOMICIDE,Inside,KNIFE,723.0,WESTERN,BRIDGEVIEW/GREENLAWN,-76.65859295755901,39.298420353096,,DWELLING,,1
10/06/2016,17:41:00,1A,1100 MCCULLOH ST,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.625876488193,39.300938647261,,STREET,,1
10/04/2016,22:16:00,1A,400 N ROSE ST,HOMICIDE,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.581460709323,39.295719475102,,STREET,,1
10/04/2016,13:03:00,1A,3300 CLIFTMONT AV,HOMICIDE,Outside,FIREARM,434.0,NORTHEAST,BELAIR-EDISON,-76.57114564953599,39.318208461638,,STREET,,1
10/03/2016,01:15:00,1A,2600 W PATAPSCO AV,HOMICIDE,Outside,FIREARM,923.0,SOUTHERN,LAKELAND,-76.652087993155,39.252881245063,,PARKING LOT,,1
10/03/2016,13:53:00,1A,2600 ROBB ST,HOMICIDE,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.596760459736,39.319719900478,,STREET,,1
10/02/2016,23:58:00,1A,3200 LYNDALE AV,HOMICIDE,Outside,FIREARM,434.0,NORTHEAST,4X4,-76.578406124098,39.316519875903,,,,1
10/02/2016,17:13:00,1A,600 YALE AV,HOMICIDE,Outside,FIREARM,124.0,SOUTHWEST,PEN-FALLSWAY,-76.687723176577,39.275858378519004,,STREET,,1
09/27/2016,13:25:00,1K,500 N BRICE ST,HOMICIDE,Inside,KNIFE,722.0,WESTERN,MIDTOWN EDMONDSON,-76.64969486856201,39.294666543595,,DWELLING,,1
09/25/2016,17:44:00,1A,4300 PARK HEIGHTS AV,HOMICIDE,Outside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.665114881046,39.337753437052,,PUBLIC AREA,,1
09/25/2016,01:55:00,1A,100 N SMALLWOOD ST,HOMICIDE,Outside,FIREARM,714.0,WESTERN,PENROSE/FAYETTE ST OUTREACH,-76.651616017249,39.289680147012,,STREET,,1
09/24/2016,13:09:00,1A,0 S CAREY ST,HOMICIDE,Outside,FIREARM,232.0,SOUTHERN,BAYVIEW,-76.638089263589,39.288510087905,,STREET,Tri-District,1
09/23/2016,03:05:00,1A,100 E TRENTON ST,HOMICIDE,Outside,FIREARM,134.0,CENTRAL,GREENMOUNT WEST,-76.614827710711,39.310519750492,,ALLEY,,1
09/21/2016,02:37:00,1A,4600 PEN LUCY RD,HOMICIDE,Outside,FIREARM,822.0,SOUTHWEST,TREMONT,-76.693953276006,39.285767575319,,STREET,,1
09/21/2016,21:10:00,1K,1700 GWYNNS FALLS PKWY,HOMICIDE,Outside,KNIFE,732.0,WESTERN,WOODBROOK,-76.649889211489,39.317388400159004,,STREET,,1
09/19/2016,22:23:00,1K,5400 LOCH RAVEN BLVD,HOMICIDE,Outside,KNIFE,414.0,NORTHEAST,WOODBOURNE HEIGHTS,-76.58992001371399,39.35632073259,,STREET,,1
09/18/2016,18:14:00,1O,1800 N MONTFORD AV,HOMICIDE,Outside,OTHER,331.0,EASTERN,BROADWAY EAST,-76.584448280695,39.311595677332,,STREET,,1
09/18/2016,00:09:00,1A,2100 KIRK AV,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.607210425822,39.313298038496,,STREET,,1
09/16/2016,21:15:00,1A,2600 REISTERSTOWN RD,HOMICIDE,Outside,FIREARM,731.0,WESTERN,MONDAWMIN,-76.651575905597,39.317455256642,,,,1
